mètre	m
mètre carré	m²
mètres carrés	m²
mètre cube	m³
mètres cubes	m³
seconde	s
minute	min
heure	h
degré	°
degrés	°
degré celsius	°C
degrés celsius	°C
gramme	g
litre	l
kilo	kg
pouce	''
livre	lb
poid	lb
mile	ml
pour cent	%
pour mille	‰
mètre heure	km/h
mètres heure	m/h
mètre à l’heure	m/h
mètres à l’heure	m/h
mètre par l’heure	m/h
mètres par l’heure	m/h
