Adeodatus
Agapetus
Agatho
Aidrian
Ailbhe
Alaisdir
Alaric
Alasdair
Alaxandair
Alfonso
Anacletus
Anastasius
Anicetus
Anraí
Anterus
Beinidict
Bonifatius
Caius
Callixtus
Carlos
Celestine
Charles
Clemeint
Conon
Consaidín
Cornelius
Dáibhí
Damasus
Dionysius
Donus
Éadbhard
Eleuterus
Eoghan
Eoin
Eusbius
Eutychian
Evaristus
Fabian
Feardorcha
Feilimí
Felipe
Formosus
Friedrich
Gaston
Gelasius
Gréagóir
Hanraí
Hilarius
Honorius
Hormisdas
Hyginus
Innocentius
Iúil
Ladislas
Lando
Laoiseach
Leo
Leon
Leopold
Liam
Liberius
Líneas
Louis
Lucius
Ludwig
Máirtín
Marcas
Marcellinus
Marcellus
Marinus
Miltiades
Nioclás
Olav
Otto
Pascal
Peadar
Pelagius
Pilib
Pius
Pól
Pontian
Proinsias
Raibeart
Risteard
Roibeard
Romanus
Sabinian
Sailbheastar
Séamas
Seán
Séarlas
Seoirse
Seosamh
Sergius
Severinus
Silverius
Simplicius
Siricius
Sisinnius
Sixtus
Soter
Stiofán
Symmachus
Teádóir
Telesphorus
Uilliam
Urban
Vailintín
Vigilius
Vioctór
Vitalian
Zacharias
Zephyrinus
Zosimus
