￥	元
$	美元
USD	美元
€	欧元
EUR	欧元
￡	英镑
J￥	日元
JPY￥	日元
HK＄	港元
HKD	港元
฿	泰铢
AUD	澳元
A$	澳元
SUR	卢布
₽	卢布
DEM	马克
DM	马克
FRF	法郎
CAD	加元
CAD$	加元
FRF	法郎
