Lek	阿尔巴尼亚列克
ƒ	阿鲁巴盾
Br	白俄罗斯卢布
BZ$	伯利兹元
$b	玻利维亚玻利维亚诺
KM	波斯尼亚和黑塞哥维那可兑换马克
P	博茨瓦纳普拉
лв	保加利亚列弗
R$	巴西雷亚尔
៛	柬埔寨瑞尔
¥	人民币
₡	哥斯达黎加科隆
kn	克罗地亚库纳
₱	古巴比索
Kč	捷克克朗
kr	丹麦克朗
RD$	多米尼加共和国比索
€	欧元
¢	加纳塞地
Q	危地马拉格查尔
L	洪都拉斯伦皮拉
Ft	匈牙利福林
₹	印度卢比
Rp	印尼盾
£	英镑
￡	英镑
₪	以色列谢克尔
J$	牙买加元
лв	哈萨克斯坦腾格
₩	朝鲜园
лв	吉尔吉斯斯坦索姆
₭	老挝基普
ден	马其顿代纳尔
RM	马来西亚令吉
₨	毛里求斯卢比
₮	蒙古图格里克
MT	莫桑比克梅蒂卡尔
C$	尼加拉瓜科尔多瓦
₦	尼日利亚奈拉
₨	巴基斯坦卢比
B/.	巴拿马巴尔博亚
Gs	巴拉圭瓜拉尼
S/.	秘鲁索尔
₱	菲律宾比索
zł	波兰兹罗提
lei	罗马尼亚列伊
₽	卢布
Дин.	塞尔维亚第纳尔
S	索马里先令
R	南非兰特
CHF	瑞士法郎
NT$	新台币
฿	泰铢
TT$	特立尼达和多巴哥元
₺	土耳其里拉
₴	乌克兰格里夫纳
$	美元
$U	乌拉圭比索
лв	乌兹别克斯坦索姆
Bs	委内瑞拉玻利瓦尔
₫	越南东
Z$	津巴布韦元
￥	人民币
