Model Name,Language,MCV Dev-Set (v??) (it),MCV Dev-Set v11.0 (it),MCV Dev-Set v12.0 (it),MCV Test-Set v11.0 (it),MCV Test-Set v12.0 (it),MLS Dev (en),MLS Test (en),VoxPopuli Dev (it),VoxPopuli Test (it)
stt_it_conformer_ctc_large,it,,5.38,,5.92,,13.16,10.62,13.43,16.75
stt_it_conformer_transducer_large,it,,4.80,,5.24,,14.62,12.18,12.00,15.15
