Model Name,Model Size,Seq Length,TP,PP,CP,EP,MBS,Act Ckpt Layers,Act Ckpt Micro Bathes,Act Ckpt Layers per Pipeline,Num Layers,Hidden Size,FFN Hidden Size,GBS,Nodes,GPUs per Node,Time per Step,Samples per Second,Model TFLOPS / GPU,Model TFLOPS Aggregate,Config Name
llama,8,8192,4,1,2,1,1,None,None,None,32,4096,14336,1024,16,8,23.6156,43.36,145.21,18586.98,tp4_pp1_cp2_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,4,1,1,1,2,None,None,None,32,4096,14336,1024,16,8,18.9024,54.17,181.42,23221.53,tp4_pp1_cp1_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,1,1,1,1,None,None,None,32,4096,14336,1024,16,8,16.9669,60.35,202.11,25870.53,tp2_pp1_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,1,2,2,1,1,None,None,None,32,4096,14336,1024,16,8,17.0006,60.23,201.71,25819.24,tp1_pp2_cp2_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,2,1,1,1,None,None,None,32,4096,14336,1024,16,8,17.6886,57.89,193.87,24815.0,tp2_pp2_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,1,2,1,2,None,None,None,32,4096,14336,1024,16,8,17.8469,57.38,192.15,24594.9,tp2_pp1_cp2_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,2,2,1,1,None,None,None,32,4096,14336,1024,16,8,19.8681,51.54,172.6,22092.83,tp2_pp2_cp2_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,2,2,1,2,None,None,None,32,4096,14336,1024,16,8,18.4928,55.37,185.44,23735.87,tp2_pp2_cp2_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,1,2,2,1,2,None,None,None,32,4096,14336,1024,16,8,16.6801,61.39,205.59,26315.35,tp1_pp2_cp2_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,4,2,1,1,2,None,None,None,32,4096,14336,1024,16,8,19.6352,52.15,174.65,22354.88,tp4_pp2_cp1_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,1,2,1,1,None,None,None,32,4096,14336,1024,16,8,18.6289,54.97,184.08,23562.46,tp2_pp1_cp2_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,4,1,1,1,1,None,None,None,32,4096,14336,1024,16,8,20.1911,50.72,169.84,21739.41,tp4_pp1_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,4,2,1,1,1,None,None,None,32,4096,14336,1024,16,8,21.1634,48.39,162.04,20740.65,tp4_pp2_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,4,1,2,1,2,None,None,None,32,4096,14336,1024,16,8,21.148,48.42,162.15,20755.75,tp4_pp1_cp2_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,1,2,1,1,1,None,None,None,32,4096,14336,1024,16,8,15.8986,64.41,215.69,27608.89,tp1_pp2_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,1,1,2,1,1,None,None,None,32,4096,14336,1024,16,8,16.2858,62.88,210.57,26952.48,tp1_pp1_cp2_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,2,2,1,1,2,None,None,None,32,4096,14336,1024,16,8,17.1756,59.62,199.66,25556.17,tp2_pp2_cp1_ep1_mbs2_act_None_num_mbs_act_None_act_per_pipe_None
llama,8,8192,1,1,1,1,1,None,None,None,32,4096,14336,1024,16,8,15.0468,68.05,227.9,29171.83,tp1_pp1_cp1_ep1_mbs1_act_None_num_mbs_act_None_act_per_pipe_None
