utc	u t c
cst	c s t
cet	c e t
pst	p s t
est	e s t
mdt	m d t
mst	m s t
pt	p t
et	e t
mt	m t
gmt	g m t
acdt	hora de verano de australia central
acst	hora estándar de australia central
act	hora de acre
acwst	hora estándar de australia centroccidental
adt	hora de verano del atlántico
aedt	hora de verano de australia oriental
aest	hora estándar de australia oriental
aft	hora de afganistán
akdt	tiempo de verano de alaska
akst	tiempo estándar de alaska
almt	hora de almá-atá
amt	hora estándar del amazonas
aqtt	hora de aktobé
art	hora estándar de argentina
ast	hora estándar del atlántico
awst	hora estándar de australia occidental
azost	hora de verano de las azores
azot	hora estándar de las azores
azt	hora estándar de azerbaiyán
bdt	hora de brunéi
bnt	hora de brunéi darussalam
bot	hora de bolivia
brt	hora estándar de brasilia
bst	hora de verano británica
btt	hora de bután
cast	hora de casey
cat	hora de áfrica central
cct	hora de las islas cocos
cest	hora de verano de europa central
chut	hora de chuuk
clst	hora de verano de chile
clt	hora estándar de chile
cot	hora estándar de colombia
cvt	hora estándar de cabo verde
cxt	hora de la isla de navidad
chst	hora estándar de chamorro
east	hora estándar de la isla de pascua
eat	hora de áfrica oriental
ect	hora de ecuador
eeast	hora de verano de la isla de pascua
eest	hora de verano de europa oriental
eet	hora estándar de europa oriental
egst	hora de verano de groenlandia oriental
egt	hora estándar de groenlandia oriental
fjst	hora de verano de fiyi
fjt	hora estándar de fiyi
fkst	hora de verano de las malvinas
fnt	hora estándar de fernando de noronha
galt	hora de galápagos
gamt	hora de gambier
gft	hora de la guayana francesa
gyt	hora de guyana
hkt	hora estándar de hong kong
ict	hora de indochina
idt	hora de verano de israel
iot	hora del océano índico
irdt	hora de verano de irán
irst	hora estándar de irán
ist	i s t
jst	hora estándar de japón
kgt	hora de kirguistán
krat	hora estándar de krasnoyarsk
kst	hora estándar de corea
lint	hora de las espóradas ecuatoriales
magt	hora estándar de magadán
mart	hora de las islas marquesas
mmt	hora de birmania
msk	hora estándar de moscú
mut	hora estándar de mauricio
mvt	hora de maldivas
myt	hora de malasia
nct	hora estándar de nueva caledonia
ndt	hora de verano de terranova
nft	hora de las islas norfolk
vot	hora estándar de novosibirsk
npt	hora de nepal
nrt	hora de nauru
nst	hora estándar de terranova
nzdt	hora de verano de nueva zelanda
hzst	hora estándar de nueva zelanda
omst	hora estándar de omsk
orat	hora de kazajistán occidental
pet	hora estándar de perú
pett	hora de kamchatka
pgt	hora de papúa nueva guinea
phot	hora de las islas fénix
pkt	hora estándar de pakistán
pmdt	hora de verano de san pedro y miquelón
pmst	hora estándar de san predo y miquelón
pont	hora de pohnpei
pwt	hora de palaos
pyst	hora de verano de paraguay
pyt	hora estándar de paraguay
qyzt	hora de quizilordá
ret	hora de reunión
sakt	hora estándar de sajalín
samt	hora de samara
sast	hora de sudáfrica
sbt	hora de las islas salomón
sgt	hora de singapur
sret	hora de srednekolimsk
srt	hora de surinam
sst	hora estándar de samoa
taht	hora de tahití
tft	hora de las tierras australes y antárticas francesas
tjt	hora de tayikistán
tkt	hora de tokelau
tlt	hora de timor oriental
tmt	hora estándar de turkmenistán
tot	hora estándar de tonga
trt	hora estándar de turquía
tvt	hora de tuvalu
ulat	hora estándar de ulán bator
uyst	hora de verano de uruguay
uyt	hora de uruguay
uzt	hora estándar de uzbekistán
vet	hora de venezuela
vlat	hora estándar de vladivostok
volt	hora estándar de volgogrado
vost	hora de vostok
vut	hora estándar de vanuatu
wakt	hora de la isla wake
wat	hora estándar de áfrica occidental
west	hora de verano de europa oriental
wet	hora estándar de europa oriental
wgst	hora de verano de groenlandia occidental
wgt	hora estándar de groenlandia occidental
wib	hora de indonesia occidental
wit	hora de indonesia oriental
wita	hora de indonesia central
wst	hora de samoa occidental
yakt	hora estándar de yakutsk
yekt	hora estándar de ekaterimburgo
