atm	atmosphere
bq	becquerel
cd	candela
da	dalton
eb	exabyte
f	degree Fahrenheit
gb	gigabyte
g	gram
gl	gigaliter
ha	hectare
h	hour
hl	hectoliter
hp	horsepower
hp	horsepower
kb	kilobit
kb	kilobyte
ma	megaampere
mA	megaampere
ma	milliampere
mA	milliampere
mb	megabyte
mc	megacoulomb
mf	megafarad
m	meter
m	minute
mm	millimeter
mm	millimeter
mm	millimeter
ms	megasecond
ms	mega siemens
ms	millisecond
mv	millivolt
mV	millivolt
mw	megawatt
mW	megawatt
pb	petabyte
pg	petagram
ps	petasecond
s	second
tb	terabyte
tb	terabyte
yb	yottabyte
zb	zettabyte
