task,model,size,system,dtype,num_gpus,seq_len,tp_size,pp_size,cp_size,dp_size,ep_size,vp_size,mbs,gbs,etp_size,cuda_graphs,use_mcore_fsdp,recompute_layers,activation_offload_layers
lora,llama3,70b,gb200,fp8,8.0,2048.0,1.0,4.0,1.0,2.0,1.0,20.0,1.0,64.0,,1,0,0,0
lora,llama3,70b,gb200,bf16,8.0,2048.0,1.0,4.0,1.0,2.0,1.0,20.0,1.0,64.0,,1,0,0,0
lora,llama3,8b,gb200,bf16,8.0,16384.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,,1,0,0,0
lora,llama3,8b,gb200,fp8,8.0,16384.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,,1,0,0,0
lora,llama31,405b,gb200,fp8,24.0,2048.0,4.0,6.0,1.0,1.0,1.0,7.0,1.0,24.0,,1,0,0,0
lora,llama31,405b,gb200,bf16,24.0,2048.0,4.0,6.0,1.0,1.0,1.0,7.0,1.0,24.0,,1,0,0,0
pre_train,gpt3,175b,gb200,bf16,128.0,2048.0,1.0,1.0,1.0,128.0,1.0,1.0,2.0,256.0,,0,1,0,0
pre_train,gpt3,175b,gb200,fp8,128.0,2048.0,1.0,1.0,1.0,128.0,1.0,1.0,2.0,256.0,,0,1,0,0
pre_train,gpt3,175b,gb200,fp8,512.0,2048.0,1.0,1.0,1.0,512.0,1.0,1.0,2.0,2048.0,,0,1,0,0
pre_train,llama3,8b,gb200,bf16,8.0,8192.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,128.0,,1,0,0,0
pre_train,llama3,8b,gb200,fp8,8.0,8192.0,1.0,1.0,1.0,8.0,1.0,1.0,4.0,128.0,,1,0,0,0
pre_train,llama3,70b,gb200,fp8,64.0,8192.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,128.0,,0,1,0,0
pre_train,llama3,70b,gb200,bf16,64.0,8192.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,128.0,,0,1,10,0
pre_train,llama31,405b,gb200,bf16,128.0,8192.0,4.0,1.0,1.0,32.0,1.0,1.0,1.0,64.0,,0,1,0,0
pre_train,llama31,405b,gb200,fp8,128.0,8192.0,4.0,1.0,1.0,32.0,1.0,1.0,1.0,64.0,,0,1,8,0
pre_train,mixtral,8x7b,gb200,bf16,64.0,4096.0,1.0,1.0,1.0,64.0,8.0,1.0,2.0,256.0,,1,0,0,0
pre_train,mixtral,8x7b,gb200,fp8,64.0,4096.0,1.0,1.0,1.0,64.0,8.0,1.0,2.0,256.0,,1,0,0,0
pre_train,nemotron4,15b,gb200,bf16,64.0,4096.0,1.0,1.0,1.0,32.0,1.0,1.0,2.0,256.0,,1,0,0,0
pre_train,nemotron4,15b,gb200,fp8,64.0,4096.0,1.0,1.0,1.0,32.0,1.0,1.0,2.0,256.0,,1,0,0,0
pre_train,nemotron4,340b,gb200,bf16,128.0,4096.0,4.0,1.0,1.0,32.0,1.0,1.0,1.0,32.0,,0,1,0,0
pre_train,nemotron4,340b,gb200,fp8,128.0,4096.0,4.0,1.0,1.0,32.0,1.0,1.0,1.0,32.0,,0,1,0,0
sft,llama3,8b,gb200,fp8,8.0,16384.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,,1,1,0,0
sft,llama3,8b,gb200,bf16,8.0,16384.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,,1,1,0,0
sft,llama3,70b,gb200,fp8,32.0,4096.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,32.0,,0,1,0,0
sft,llama3,70b,gb200,bf16,32.0,4096.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,32.0,,0,1,0,0
