ean	eanáir
fea	feabhra
feabh	feabhra
már	márta
mar	márta
aib	aibreán
bea	bealtaine
beal	bealtaine
mei	meitheamh
meith	meitheamh
iúi	iúil
iui	iúil
lún	lúnasa
lun	lúnasa
mfó	meán fómhar
mfo	meán fómhar
mfómh	meán fómhar
mfomh	meán fómhar
dfó	deireadh fómhair
dfo	deireadh fómhair
dfómh	deireadh fómhair
dfomh	deireadh fómhair
sam	samhain
samh	samhain
nol	nollaig
noll	nollaig
