cm	centímetro
g	gramo
h	hora
kg	kilogramo
km	kilómetro
km²	kilómetro cuadrado
l	litro
m	metro
m²	metro cuadrado
m³	metro cubico
mph	milla por hora
ml	mililitro
mm	milímetro
ms	milisegundo
min	minuto
%	por ciento
s	segundo
