a
aoj
aəj
aː
aːʲ
aː͡j
aː͡ɨ̯
aˤ
aˤː
a̠
a̠ː
a̰
a͡e
a͡i
a͡iː
a͡i̯
a͡j
a͡o
a͡u
a͡uː
a͡u̯
a͡w
a͡ə
a͡ɨ̯
a͡ɪ
a͡ʊ
b
bʱ
bʲ
bː
b̥
c
cʰ
cː
ç
d
dʲ
dː
d̥
d̪
d̪ʱ
d͡z
d͡zʷ
d͡zː
d͡ʑ
d͡ʒ
d͡ʒʱ
d͡ʒʲ
d͡ʒː
e
eː
eːʲ
eː͡j
ẽː
ẽ͡j̃
e̞
e̞ː
e̯
e͡i
e͡iː
e͡ɨ̯
f
fʲ
fː
h
hː
i
iəj
iəw
iʲ
iː
iːʲ
ĩː
i̥
i̯
i͡u
i͡ə
i͡ɛ
j
jː
j̃
k
kʰ
kʰː
kʲ
kʲʼ
kʷ
kʷʼ
kʼ
kː
k̚
k̚ʲ
k̟̚
k͈
k͡p̚
l
lʲ
lː
l̥
l̩
m
mʲ
mʲː
mː
m̥
m̩
n
nʲ
nː
n̥
n̩
o
oʲ
oː
oːʲ
ò
õ͡j̃
õ͡w̃
o̝
o̞
o̞ː
o̯
o̰
o͡u
o͡uː
p
pʰ
pʰː
pʲ
pʷʼ
pʼ
pː
p̚
p̚ʲ
p͈
p͜f
p͡f
q
qʷ
qʼ
r
rʲ
rː
r̂
r̂ː
r̥
r̩
s
sʰ
sʲ
sʼ
sː
s͈
t
tʰ
tʰː
tʲ
tʷʼ
tʼ
tː
t̚
t̪
t̪ʰ
t͈
t͜s
t͡s
t͡sʰ
t͡sʰː
t͡sʲ
t͡sʷ
t͡sʼ
t͡sː
t͡ɕ
t͡ɕʰ
t͡ɕ͈
t͡ʂ
t͡ʂʼ
t͡ʃ
t͡ʃʰ
t͡ʃʰː
t͡ʃʲ
t͡ʃʷ
t͡ʃʼ
t͡ʃː
u
uəj
uʲ
uː
uːʲ
ũː
ũ͡j̃
u̯
u͡e
u͡i
u͡j
u͡ɔ
u͡ə
v
vʲ
vː
w
w̃
x
xʷ
xː
y
yː
yːʲ
y̯
z
zʲ
zː
z̥
à
àː
á
áː
â
âː
ã
ã̠
æ
æː
æ̀
æ̀ː
æ̂
æ̂ː
æ͡ɪ
æ͡ʉ
ç
è
èː
é
éː
ê
êː
ì
ìː
í
íː
î
îː
ï
ð
ò
òː
ó
óː
ô
