€	euro
$	dollar
$	us dollar
£	pfund
₩	won
nzd	neuseeland dollar
rs	rupie
chf	schweizer franken
dkk	dänische krone
fim	finnische mark
aed	dirham
¥	yen
czk	tschechische krone
mro	ouguiya
pkr	pakistanische rupie
crc	colon
hkd	hong kong dollar
npr	nepalesische rupee
awg	aruba florin
nok	norwegische krone
tzs	tansania schilling
sek	schwedisch krone
cyp	zypern pfund
dm	d-mark
dm	deutsche mark
