monsieur	M.
messieurs	MM.
madame	Mᵐᵉ
mesdames	Mᵐᵉˢ
mademoiselle	Mˡˡᵉ
mademoiselles	Mˡˡᵉˢ
docteur	Dʳ
docteurs	Dʳˢ
docteure	Dʳᵉ
docteures	Dʳᵉˢ
après jésus-christ	apr. J.-C.
avant Jésus-Christ	av. J.-C.
ca	v.
vers	v.
l’honorable	le hon.
le très hononrable	le très hon.
