BC,	b c
BCE,	b c e
CDs,	c d's
CE,	c e
CIA,	c i a
DB,	d b
DVD,	d v d
ECB,	e c b
EP,	e p
ESPN,	e s p n
FDQ,	f d q
HMSO,	h m s o
IMF,	i m f
LP,	l p
SDI,	s d i
WSOP,	w s o p
