.com	ponc com
.org	ponc org
.gov	ponc gov
.uk	ponc u k
.fr	ponc f r
.net	ponc net
.br	ponc b r
.in	ponc i n
.ru	ponc r u
.de	ponc d e
.it	ponc i t
.ie	ponc i e
