f	fahrenheit
c	celsius
k	thousand
km	kilometers
m	meters
cm	centimeters
mm	millimeters
ha	hectares
mi	miles
m2	square meters
km2	square kilometers
ft	feet
%	percent
hz	hertz
mph	miles per hour
yrs	years
year	year
kw	kilowatts
hp	horsepower
mg	milligrams
kg	kilograms
khz	kilohertz
mhz	megahertz
lb	pounds
v	volts
h	hours
mc	mega coulombs
s	seconds
nm	nanometers
rpm	revolutions per minute
mA	milli amperes
