.com	punto com
.org	punto org
.gov	punto gov
.uk	punto uk
.fr	punto fr
.net	punto net
.br	punto br
.in	punto in
.ru	punto ru
.de	punto de
.it	punto it
.es	punto es
.mx	punto mx
.us	punto us
