centímetro	centímetros
gramo	gramos
kilogramo	kilogramos
kilómetro	kilómetros
kilómetro cuadrado	kilómetros cuadrados
litro	litros
metro	metros
metro cuadrado	metros cuadrados
metro cúbico	metros cúbicos
mililitro	mililitros
milímetro	milímetros
milisegundo	milisegundos
minuto	minutos
segundo	segundos
por ciento	por ciento
kilómetro por hora	kilómetros por hora
gramo por metro cuadrado	gramos por metro cuadrado
p s i	p s i
grado centígrado	grados centígrados
grado farenheit	grados farenheit
grado kelvin	grados kelvin
