cm	centímetro
g	gramo
h	hora
kg	kilogramo
km	kilómetro
km²	kilómetro cuadrado
l	litro
m	metro
m²	metro cuadrado
m³	metro cúbico
ml	mililitro
mm	milímetro
ms	milisegundo
min	minuto
s	segundo
° c	grado centígrado
° f	grado farenheit
° k	grado kelvin
