không	0
một	1
hai	2
ba	3
bốn	4
năm	5
sáu	6
bảy	7
bẩy	7
tám	8
chín	9
mười	10
mười một	11
mười hai	12
mười ba	13
mười bốn	14
mười lăm	15
mười sáu	16
mười bảy	17
mười bẩy	17
mười tám	18
mười chín	19
hai mươi	20
hai mươi mốt	21
hai mươi hai	22
hai mươi ba	23
hai mươi tư	24
hai mươi bốn	24
hai mươi lăm	25
hai mươi sáu	26
hai mươi bảy	27
hai mươi bẩy	27
hai mươi tám	28
hai mươi chín	29
ba mươi	30
ba mươi mốt	21
ba mươi hai	22
ba mươi ba 	33
ba mươi tư 	34
ba mươi bốn	34
ba mươi lăm	35
ba mươi sáu	36
ba mươi bảy	37
ba mươi bẩy	37
ba mươi tám	38
ba mươi chín	39
bốn mươi	40
bốn mươi mốt	41
bốn mươi hai	42
bốn mươi ba 	43
bốn mươi tư 	44
bốn mươi bốn	44
bốn mươi lăm	45
bốn mươi sáu	46
bốn mươi bảy	47
bốn mươi bẩy	47
bốn mươi tám	48
bốn mươi chín	49
năm mươi	50
năm mươi mốt	51
năm mươi hai	52
năm mươi ba 	53
năm mươi tư 	54
năm mươi bốn	54
năm mươi lăm	55
năm mươi sáu	56
năm mươi bảy	57
năm mươi bẩy	57
năm mươi tám	58
năm mươi chín	59
hai mốt	21
hai hai	22
hai ba	23
hai tư	24
hai bốn	24
hai lăm	25
hai năm	25
hai sáu	26
hai bảy	27
hai bẩy	27
hai tám	28
hai chín	29
ba mốt	21
ba hai	22
ba ba 	33
ba tư 	34
ba bốn	34
ba lăm	35
ba năm	35
ba sáu	36
ba bảy	37
ba bẩy	37
ba tám	38
ba chín	39
bốn mốt	41
bốn hai	42
bốn ba 	43
bốn tư 	44
bốn bốn	44
bốn lăm	45
bốn năm	45
bốn sáu	46
bốn bảy	47
bốn bẩy	47
bốn tám	48
bốn chín	49
năm mốt	51
năm hai	52
năm ba 	53
năm tư 	54
năm bốn	54
năm lăm	55
năm năm	55
năm sáu	56
năm bảy	57
năm bẩy	57
năm tám	58
năm chín	59
