Model Name,Language,MCV Dev-Set (v??) (ca),MCV Dev-Set v9.0 (ca),MCV Test-Set v9.0 (ca)
stt_ca_conformer_ctc_large,ca,,4.70,4.27
stt_ca_conformer_transducer_large,ca,,4.43,3.85
