II.	the Second
II	Second
III.	the Third
III	Third
IV.	the Fourth
IV	Fourth
VIII.	the Eighth
Hon.	honorable
Hon.	honourable
St.	street
St	street
St.	saint
St	saint
Dr.	drive
Dr.	doctor
Mr	mister
Mrs	misses
