deer
fish
sheep
foot	feet
goose	geese
man	men
mouse	mice
tooth	teeth
woman	women
won
child	children
ox	oxen
wife	wives
wolf	wolves
analysis	analyses
criterion	criteria
focus	foci
percent
hertz
kroner	krone
inch	inches
calory	calories
yen
megahertz
gigahertz
kilohertz
hertz
c c
horsepower
hundredweight
kilogram force	kilograms force
mega siemens
revolution per minute	revolutions per minute
mile per hour	miles per hour
megabit per second	megabits per second
square foot	square feet
kilobit per second	kilobits per second
